iata_code,city,country
PTY,Panama City,Panama
SJO,San Jose,Costa Rica
GUA,Guatemala City,Guatemala
SAL,San Salvador,El Salvador
BZE,Belize City,Belize
SAP,San Pedro Sula,Honduras
PUJ,Punta Cana,Dominican Republic
SDQ,Santo Domingo,Dominican Republic
SJU,San Juan,Puerto Rico
NAS,Nassau,Bahamas
MBJ,Montego Bay,Jamaica
AUA,Oranjestad,Aruba
CUR,Willemstad,Curacao
SXM,Sint Maarten,Sint Maarten
BGI,Bridgetown,Barbados
POS,Port of Spain,Trinidad and Tobago
UVF,Vieux Fort,Saint Lucia
GCM,George Town,Cayman Islands
BOG,Bogota,Colombia
MDE,Medellin,Colombia
CTG,Cartagena,Colombia
LIM,Lima,Peru
UIO,Quito,Ecuador
GYE,Guayaquil,Ecuador
GRU,Sao Paulo,Brazil
GIG,Rio de Janeiro,Brazil
EZE,Buenos Aires,Argentina
SCL,Santiago,Chile
MVD,Montevideo,Uruguay
KEF,Keflavik,Iceland
