origin,destination,search_date,departure_date,return_date,days_before_departure,price_cad,timestamp
YEG,MEX,2026-06-23,2026-11-10,2026-11-20,140,726,1782194400
YEG,MEX,2026-06-24,2026-11-10,2026-11-20,139,719,1782280800
YEG,MEX,2026-06-25,2026-11-10,2026-11-20,138,720,1782367200
YEG,MEX,2026-06-26,2026-11-10,2026-11-20,137,719,1782453600
YEG,MEX,2026-06-27,2026-11-10,2026-11-20,136,719,1782540000
YEG,MEX,2026-06-28,2026-11-10,2026-11-20,135,720,1782626400
YEG,MEX,2026-06-29,2026-11-10,2026-11-20,134,720,1782712800
YEG,MEX,2026-06-30,2026-11-10,2026-11-20,133,719,1782799200
YEG,MEX,2026-07-01,2026-11-10,2026-11-20,132,719,1782885600
YEG,MEX,2026-07-02,2026-11-10,2026-11-20,131,720,1782972000
YEG,MEX,2026-07-03,2026-11-10,2026-11-20,130,717,1783058400
YEG,MEX,2026-07-04,2026-11-10,2026-11-20,129,717,1783144800
YEG,MEX,2026-07-05,2026-11-10,2026-11-20,128,717,1783231200
YEG,MEX,2026-07-06,2026-11-10,2026-11-20,127,718,1783317600
YEG,MEX,2026-07-07,2026-11-10,2026-11-20,126,693,1783404000
YEG,MEX,2026-07-08,2026-11-10,2026-11-20,125,693,1783490400
YEG,MEX,2026-07-09,2026-11-10,2026-11-20,124,692,1783576800
YEG,MEX,2026-07-10,2026-11-10,2026-11-20,123,692,1783663200
YEG,MEX,2026-07-11,2026-11-10,2026-11-20,122,692,1783749600
YEG,MEX,2026-07-12,2026-11-10,2026-11-20,121,692,1783836000
YEG,MEX,2026-07-13,2026-11-10,2026-11-20,120,703,1783922400
YEG,MEX,2026-07-14,2026-11-10,2026-11-20,119,723,1784008800
YEG,MEX,2026-07-15,2026-11-10,2026-11-20,118,715,1784095200
YEG,MEX,2026-07-16,2026-11-10,2026-11-20,117,673,1784181600
YEG,MEX,2026-07-17,2026-11-10,2026-11-20,116,673,1784268000
YEG,MEX,2026-07-18,2026-11-10,2026-11-20,115,673,1784354400
YEG,MEX,2026-07-19,2026-11-10,2026-11-20,114,673,1784440800
YEG,MEX,2026-07-20,2026-11-10,2026-11-20,113,661,1784527200
YEG,MEX,2026-07-21,2026-11-10,2026-11-20,112,680,1784613600
YEG,MEX,2026-07-22,2026-11-10,2026-11-20,111,696,1784700000
YEG,MEX,2026-07-23,2026-11-10,2026-11-20,110,658,1784786400
YEG,MEX,2026-07-24,2026-11-10,2026-11-20,109,658,1784872800
YEG,MEX,2026-07-25,2026-11-10,2026-11-20,108,658,1784959200
YEG,MEX,2026-07-26,2026-11-10,2026-11-20,107,658,1785045600
YEG,MEX,2026-07-27,2026-11-10,2026-11-20,106,658,1785132000
YEG,MEX,2026-07-28,2026-11-10,2026-11-20,105,658,1785218400
YEG,MEX,2026-07-29,2026-11-10,2026-11-20,104,657,1785304800
YEG,MEX,2026-07-30,2026-11-10,2026-11-20,103,689,1785391200
YEG,MEX,2026-07-31,2026-11-10,2026-11-20,102,704,1785477600
YEG,MEX,2026-08-01,2026-11-10,2026-11-20,101,709,1785564000
YEG,MEX,2026-08-02,2026-11-10,2026-11-20,100,708,1785650400
YEG,MEX,2026-08-03,2026-11-10,2026-11-20,99,709,1785736800
YEG,MEX,2026-08-04,2026-11-10,2026-11-20,98,709,1785823200
YEG,MEX,2026-08-05,2026-11-10,2026-11-20,97,708,1785909600
YEG,MEX,2026-08-06,2026-11-10,2026-11-20,96,662,1785996000
YEG,MEX,2026-08-07,2026-11-10,2026-11-20,95,660,1786082400
YEG,MEX,2026-08-08,2026-11-10,2026-11-20,94,661,1786168800
YEG,MEX,2026-08-09,2026-11-10,2026-11-20,93,660,1786255200
YEG,MEX,2026-08-10,2026-11-10,2026-11-20,92,660,1786341600
YEG,MEX,2026-08-11,2026-11-10,2026-11-20,91,668,1786428000
YEG,MEX,2026-08-12,2026-11-10,2026-11-20,90,652,1786514400
YEG,MEX,2026-08-13,2026-11-10,2026-11-20,89,651,1786600800
YEG,MEX,2026-08-14,2026-11-10,2026-11-20,88,666,1786687200
YEG,MEX,2026-08-15,2026-11-10,2026-11-20,87,694,1786773600
YEG,MEX,2026-08-16,2026-11-10,2026-11-20,86,694,1786860000
YEG,MEX,2026-08-17,2026-11-10,2026-11-20,85,661,1786946400
YEG,MEX,2026-08-18,2026-11-10,2026-11-20,84,681,1787032800
YEG,MEX,2026-08-19,2026-11-10,2026-11-20,83,700,1787119200
YEG,MEX,2026-08-20,2026-11-10,2026-11-20,82,699,1787205600
YEG,MEX,2026-08-21,2026-11-10,2026-11-20,81,704,1787292000
YEG,MEX,2026-08-22,2026-11-10,2026-11-20,80,705,1787378400
